ID,Caption
3260,(List of AutoText Entries)
1384,0 pt.
746,1
830,1 Doc1.docm
5,1. Spacing
55,1.5 Spacing
1387,144 pt.
1388,288 pt.
169,3-D Color
137,3-D On/Off
1057,3-D Settings...
33,3-D Style
1451,3-D Styles
1385,36 pt.
1386,72 pt.
927,About Microsoft Word
6242,Accept All Changes
6241,Accept All Changes Shown
171,Accept Change
3008,Action
5933,Activate Product...
141,Add Point
21,Add Record
15629,Add Space Before Paragraph
1022,Add to Favorites...
1336,Add to Outlook Contacts
2257,Additional Actions
174,Address:
1126,Adjust List Indents...
29,Adjust Margins
1278,Align Bottom
392,Align Bottom Center
392,Align Bottom Left
392,Align Bottom Right
391,Align Center
391,Align Center Left
391,Align Center Right
12,Align Left
1278,Align Middle
30174,Align or Distribute
12,Align Right
1278,Align Top
391,Align Top Center
391,Align Top Left
391,Align Top Right
82,All
6074,All Assistants
170,All Borders
6075,All Connecting Lines
3042,All Entries
6999,All Reviewers
901,Allow Multiple Pages
1149,Allow Typing
9317,Always
912,Annotation Pen
113,Arc
298,Arrange All
69,Arrow Style
1449,Arrow Styles
115,Arrow: Bent
115,Arrow: Bent-Up
115,Arrow: Chevron
115,Arrow: Circular
116,Arrow: Curved Down
116,Arrow: Curved Left
116,Arrow: Curved Right
116,Arrow: Curved Up
114,Arrow: Down
114,Arrow: Left
114,Arrow: Left-Right
114,Arrow: Left-Right-Up
115,Arrow: Left-Up
115,Arrow: Notched Right
115,Arrow: Pentagon
114,Arrow: Quad
114,Arrow: Right
115,Arrow: Striped Right
115,Arrow: U-Turn
114,Arrow: Up
114,Arrow: Up-Down
584,Assistant
142,Auto Point
793,AutoCorrect Options...
3045,AutoFit
30460,AutoFit and Distribute
3907,AutoFit to Contents
3908,AutoFit to Window
606,AutoFormat
144,AutoFormat...
6071,AutoLayout
1365,Automatic
192,Automatic Color
2630,AutoShapes
22,AutoSum
1709,AutoSummarize...
30181,AutoText
20,AutoText...
101,Back
30403,Background
31330,Balloons
999,Ballpoint Pens
263,Basic Shapes
400,Behind Text
906,Black
1367,Black and White
113,Block Arc
104,Block Arrows
1783,Block Authors
906,Blue
11,Bold
758,Bookmark...
172,Border Style
2411,Border Styles
262,Border Width
20,Borders
78,Borders and Shading...
6132,Both Hanging
286,Bottom Border
6073,Branch
230,Break Forward Link
766,Break...
1392,Bright
17,Bring Forward
16,Bring in Front of Text
16,Bring to Front
1,Bullets
783,Bullets and Numbering...
574,Business Bar
116,Callout: Down Arrow
116,Callout: Left Arrow
116,Callout: Left-Right Arrow
121,Callout: Line
117,Callout: Quad Arrow
116,Callout: Right Arrow
116,Callout: Up Arrow
116,Callout: Up-Down Arrow
104,Callouts
12,Can't Redo
335,Can't Repeat
12,Can't Undo
3678,Cell
3046,Cell Alignment
292,Cells...
12,Center
30080,Change AutoShape
309,Change Case...
1254,"Change Shape to ""No"" Symbol"
1306,Change Shape to 16-Point Star
1307,Change Shape to 24-Point Star
1308,Change Shape to 32-Point Star
2681,Change Shape to 4-Point Star
1304,Change Shape to 5-Point Star
1305,Change Shape to 8-Point Star
1260,Change Shape to Arc
1273,Change Shape to Bent Arrow
1272,Change Shape to Bent-Up Arrow
1251,Change Shape to Bevel
1255,Change Shape to Block Arc
1247,Change Shape to Can
1278,Change Shape to Chevron
1279,Change Shape to Circular Arrow
1296,Change Shape to Cloud Callout
1242,Change Shape to Cross
1243,Change Shape to Cube
1284,Change Shape to Curved Down Arrow
1302,Change Shape to Curved Down Ribbon
1282,Change Shape to Curved Left Arrow
1283,Change Shape to Curved Up Arrow
1303,Change Shape to Curved Up Ribbon
1235,Change Shape to Diamond
1253,Change Shape to Donut
2680,Change Shape to Double Brace
2679,Change Shape to Double Bracket
2682,Change Shape to Double Wave
1266,Change Shape to Down Arrow
1288,Change Shape to Down Arrow Callout
1300,Change Shape to Down Ribbon
1309,Change Shape to Explosion 1
1310,Change Shape to Explosion 2
1312,Change Shape to Flowchart: Alternate Process
1325,Change Shape to Flowchart: Card
1329,Change Shape to Flowchart: Collate
1323,Change Shape to Flowchart: Connector
1314,Change Shape to Flowchart: Data
1313,Change Shape to Flowchart: Decision
1339,Change Shape to Flowchart: Delay
1337,Change Shape to Flowchart: Direct Access Storage
1338,Change Shape to Flowchart: Display
1317,Change Shape to Flowchart: Document
1331,Change Shape to Flowchart: Extract
1316,Change Shape to Flowchart: Internal Storage
1336,Change Shape to Flowchart: Magnetic Disk
1321,Change Shape to Flowchart: Manual Input
1322,Change Shape to Flowchart: Manual Operation
1332,Change Shape to Flowchart: Merge
1318,Change Shape to Flowchart: Multidocument
1324,Change Shape to Flowchart: Off-page Connector
1328,Change Shape to Flowchart: Or
1315,Change Shape to Flowchart: Predefined Process
1320,Change Shape to Flowchart: Preparation
1311,Change Shape to Flowchart: Process
1326,Change Shape to Flowchart: Punched Tape
1335,Change Shape to Flowchart: Sequential Access Storage
1330,Change Shape to Flowchart: Sort
1334,Change Shape to Flowchart: Stored Data
1327,Change Shape to Flowchart: Summing Junction
1319,Change Shape to Flowchart: Terminator
1250,Change Shape to Folded Corner
1262,Change Shape to Heart
1241,Change Shape to Hexagon
1249,Change Shape to Horizontal Scroll
1238,Change Shape to Isosceles Triangle
1264,Change Shape to Left Arrow
1286,Change Shape to Left Arrow Callout
1258,Change Shape to Left Brace
1256,Change Shape to Left Bracket
1267,Change Shape to Left-Right Arrow
1289,Change Shape to Left-Right Arrow Callout
1270,Change Shape to Left-Right-Up Arrow
1271,Change Shape to Left-Up Arrow
1261,Change Shape to Lightning Bolt
1340,Change Shape to Line Callout 1
1341,Change Shape to Line Callout 1 (Accent Bar)
1349,Change Shape to Line Callout 1 (Border and Accent Bar)
1345,Change Shape to Line Callout 1 (No Border)
1297,Change Shape to Line Callout 2
1342,Change Shape to Line Callout 2 (Accent Bar)
1350,Change Shape to Line Callout 2 (Border and Accent Bar)
1346,Change Shape to Line Callout 2 (No Border)
1298,Change Shape to Line Callout 3
1343,Change Shape to Line Callout 3 (Accent Bar)
1351,Change Shape to Line Callout 3 (Border and Accent Bar)
1347,Change Shape to Line Callout 3 (No Border)
1299,Change Shape to Line Callout 4
1344,Change Shape to Line Callout 4 (Accent Bar)
